<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SANDP-500;60;20150101;010000;2058.9000000;2058.9100000;2058.8700000;2058.9000000;21
SANDP-500;60;20150102;180000;2058.9000000;2072.3600000;2058.9000000;2068.5600000;1526
SANDP-500;60;20150102;190000;2068.5500000;2068.5800000;2052.0500000;2056.3100000;2870
SANDP-500;60;20150102;200000;2056.2900000;2056.3600000;2048.7800000;2053.0500000;2512
SANDP-500;60;20150102;210000;2053.0300000;2056.8000000;2051.5200000;2052.0000000;1526
SANDP-500;60;20150102;220000;2052.0100000;2053.2800000;2046.2600000;2047.2800000;807
SANDP-500;60;20150102;230000;2049.9800000;2056.5000000;2049.4200000;2054.1500000;2131
SANDP-500;60;20150103;000000;2054.1600000;2062.3000000;2050.4400000;2058.3400000;2494
SANDP-500;60;20150103;010000;2058.1400000;2058.2000000;2058.0300000;2058.2000000;26
SANDP-500;60;20150105;180000;2054.4400000;2054.4400000;2034.7700000;2034.9700000;1572
SANDP-500;60;20150105;190000;2034.9300000;2038.1600000;2028.7600000;2032.2400000;2922
SANDP-500;60;20150105;200000;2032.1900000;2032.1900000;2025.3700000;2030.3500000;2720
SANDP-500;60;20150105;210000;2030.3400000;2030.9900000;2020.5900000;2022.2200000;2568
SANDP-500;60;20150105;220000;2022.2600000;2024.7100000;2019.2800000;2023.5900000;2450
SANDP-500;60;20150105;230000;2023.5800000;2023.5800000;2017.4500000;2018.2200000;2457
SANDP-500;60;20150106;000000;2018.2000000;2026.6000000;2017.3400000;2020.7700000;2642
SANDP-500;60;20150106;010000;2021.1300000;2021.1300000;2020.5800000;2020.5800000;52
SANDP-500;60;20150106;180000;2022.1500000;2027.1200000;2021.0000000;2023.7100000;1504
SANDP-500;60;20150106;190000;2023.7500000;2030.2500000;2016.6400000;2016.7300000;2927
SANDP-500;60;20150106;200000;2016.6700000;2016.6700000;2001.8800000;2003.2900000;2878
SANDP-500;60;20150106;210000;2003.3000000;2005.0700000;1995.6100000;2004.3700000;2773
SANDP-500;60;20150106;220000;2004.3800000;2004.5600000;1992.4400000;2001.7600000;2708
SANDP-500;60;20150106;230000;2001.7800000;2012.9100000;1996.7600000;2009.2400000;2771
SANDP-500;60;20150107;000000;2009.2500000;2016.5000000;2002.0200000;2002.0700000;2832
SANDP-500;60;20150107;010000;2002.2000000;2002.6100000;2002.2000000;2002.6100000;49
SANDP-500;60;20150107;180000;2005.5500000;2022.7100000;2005.5500000;2022.7100000;1566
SANDP-500;60;20150107;190000;2022.7200000;2024.6400000;2013.3700000;2018.7100000;2859
SANDP-500;60;20150107;200000;2018.7200000;2025.2900000;2011.9500000;2024.6200000;2681
SANDP-500;60;20150107;210000;2024.7200000;2029.6100000;2023.6400000;2024.4100000;2470
SANDP-500;60;20150107;220000;2024.4300000;2026.1700000;2020.4100000;2024.8800000;2245
SANDP-500;60;20150107;230000;2024.8700000;2027.7100000;2020.8400000;2021.2800000;2558
SANDP-500;60;20150108;000000;2021.2600000;2025.6500000;2020.8100000;2025.6500000;2566
SANDP-500;60;20150108;010000;2025.7800000;2025.9000000;2025.7500000;2025.9000000;30
SANDP-500;60;20150108;180000;2030.6100000;2050.7000000;2030.6100000;2050.7000000;1535
SANDP-500;60;20150108;190000;2050.7100000;2057.2800000;2050.7100000;2057.2800000;2701
SANDP-500;60;20150108;200000;2057.3200000;2060.6500000;2057.2700000;2058.9600000;2439
SANDP-500;60;20150108;210000;2058.9700000;2059.5900000;2055.0100000;2059.5000000;2150
SANDP-500;60;20150108;220000;2059.4800000;2062.0200000;2056.5200000;2057.3600000;2166
SANDP-500;60;20150108;230000;2057.3700000;2064.0800000;2056.5300000;2061.8200000;2197
SANDP-500;60;20150109;000000;2061.8900000;2063.7000000;2059.0300000;2062.0200000;2354
SANDP-500;60;20150109;010000;2061.9200000;2062.1400000;2061.9200000;2062.1400000;42
SANDP-500;60;20150109;180000;2063.4500000;2064.4300000;2051.4400000;2053.0700000;1605
SANDP-500;60;20150109;190000;2053.2500000;2057.6300000;2042.9200000;2047.7500000;1612
SANDP-500;60;20150109;200000;2047.2300000;2047.6800000;2038.9300000;2047.6800000;921
SANDP-500;60;20150109;210000;2047.7000000;2051.1900000;2044.2300000;2044.2600000;997
SANDP-500;60;20150109;220000;2043.6800000;2049.3100000;2042.6400000;2047.1400000;2238
SANDP-500;60;20150109;230000;2047.1200000;2049.2100000;2044.3900000;2048.1300000;2175
SANDP-500;60;20150110;000000;2048.1200000;2053.3700000;2044.4800000;2045.2800000;2422
SANDP-500;60;20150110;010000;2045.1100000;2045.1100000;2044.8100000;2044.8100000;38
SANDP-500;60;20150112;180000;2046.1300000;2049.3000000;2024.2400000;2026.5800000;1628
SANDP-500;60;20150112;190000;2026.5500000;2033.4100000;2022.5800000;2033.4100000;2897
SANDP-500;60;20150112;200000;2033.5400000;2035.6800000;2028.7900000;2030.4700000;2461
SANDP-500;60;20150112;210000;2030.4800000;2034.1700000;2028.8400000;2029.2200000;2281
SANDP-500;60;20150112;220000;2029.2300000;2031.0400000;2026.3000000;2029.4800000;2255
SANDP-500;60;20150112;230000;2029.4900000;2031.2800000;2023.8000000;2026.8500000;2186
SANDP-500;60;20150113;000000;2027.1600000;2032.9400000;2023.3200000;2028.5000000;2114
SANDP-500;60;20150113;010000;2028.5400000;2028.5400000;2028.2600000;2028.2600000;29
SANDP-500;60;20150113;180000;2031.5800000;2056.2400000;2031.5800000;2055.7300000;1559
SANDP-500;60;20150113;190000;2055.7100000;2056.9300000;2051.5100000;2053.9300000;2725
SANDP-500;60;20150113;200000;2053.9400000;2054.2100000;2047.4600000;2047.6000000;2546
SANDP-500;60;20150113;210000;2047.6600000;2048.4300000;2037.3700000;2040.8000000;2502
SANDP-500;60;20150113;220000;2040.7900000;2042.3500000;2013.9200000;2018.5900000;2692
SANDP-500;60;20150113;230000;2018.4300000;2020.5400000;2008.2500000;2011.8300000;2809
SANDP-500;60;20150114;000000;2011.8200000;2028.9300000;2010.1300000;2022.8800000;2841
SANDP-500;60;20150114;010000;2023.0300000;2023.0500000;2022.9800000;2023.0300000;27
SANDP-500;60;20150114;180000;2018.4000000;2018.4000000;2001.3800000;2004.1400000;1605
SANDP-500;60;20150114;190000;2004.3600000;2013.1700000;2003.7900000;2007.9800000;2941
SANDP-500;60;20150114;200000;2007.9600000;2008.1500000;1999.1400000;2000.2400000;2746
SANDP-500;60;20150114;210000;2000.2700000;2001.9100000;1995.9500000;1998.8100000;2527
SANDP-500;60;20150114;220000;1998.7900000;2000.3100000;1988.4400000;1992.7900000;2239
SANDP-500;60;20150114;230000;1992.8000000;2009.1200000;1992.2900000;2000.5300000;2686
SANDP-500;60;20150115;000000;2000.5100000;2012.6600000;2000.3800000;2011.0200000;2749
SANDP-500;60;20150115;010000;2011.1100000;2011.2900000;2011.1100000;2011.2700000;31
SANDP-500;60;20150115;180000;2013.7500000;2021.3500000;1999.0900000;2001.3200000;1641
SANDP-500;60;20150115;190000;2001.3800000;2016.4900000;1998.8000000;2005.9600000;2986
SANDP-500;60;20150115;200000;2006.2000000;2007.6200000;1998.0700000;2001.6400000;2834
SANDP-500;60;20150115;210000;2001.5900000;2003.9000000;1992.5300000;1995.9800000;2666
SANDP-500;60;20150115;220000;1995.9900000;2002.3200000;1993.5200000;1997.1700000;2419
SANDP-500;60;20150115;230000;1997.1600000;2004.3500000;1995.6300000;2003.5200000;2427
SANDP-500;60;20150116;000000;2003.4000000;2003.9700000;1991.4700000;1993.4300000;2263
SANDP-500;60;20150116;010000;1992.7600000;1992.7600000;1992.6700000;1992.6700000;20
SANDP-500;60;20150116;180000;1992.2500000;2000.6700000;1990.9600000;1992.0100000;1590
SANDP-500;60;20150116;190000;1992.0500000;2005.7000000;1988.1400000;2004.8400000;2491
SANDP-500;60;20150116;200000;2004.8100000;2006.7200000;1999.9100000;2001.4100000;2086
SANDP-500;60;20150116;210000;2001.4000000;2012.0100000;2001.2100000;2009.5900000;1870
SANDP-500;60;20150116;220000;2009.4700000;2009.8200000;2003.8900000;2009.7000000;2116
SANDP-500;60;20150116;230000;2009.6600000;2010.3100000;2005.9000000;2009.8000000;2211
SANDP-500;60;20150117;000000;2009.8100000;2020.3800000;2007.7800000;2019.3800000;2410
SANDP-500;60;20150117;010000;2019.2300000;2019.4200000;2018.9800000;2019.4200000;29
SANDP-500;60;20150120;180000;2020.7600000;2028.9400000;2010.3300000;2012.9600000;1467
SANDP-500;60;20150120;190000;2012.9500000;2017.7200000;2008.1800000;2010.5800000;2950
SANDP-500;60;20150120;200000;2010.5900000;2013.1700000;2004.4900000;2007.1600000;2646
SANDP-500;60;20150120;210000;2007.1500000;2012.7500000;2005.7400000;2011.6600000;2367
SANDP-500;60;20150120;220000;2011.6700000;2016.2700000;2008.5400000;2014.1700000;2339
SANDP-500;60;20150120;230000;2014.2100000;2023.8300000;2014.0100000;2023.8300000;2345
SANDP-500;60;20150121;000000;2023.8500000;2025.5800000;2020.2900000;2022.3900000;2317
SANDP-500;60;20150121;010000;2022.5000000;2022.5600000;2022.4900000;2022.5500000;36
SANDP-500;60;20150121;180000;2020.1900000;2029.3100000;2012.0400000;2023.8600000;1662
SANDP-500;60;20150121;190000;2023.9600000;2036.8400000;2020.2500000;2036.2600000;2944
SANDP-500;60;20150121;200000;2036.2900000;2038.2900000;2031.5500000;2035.0300000;2573
SANDP-500;60;20150121;210000;2035.0100000;2036.5600000;2029.1400000;2031.0700000;2173
SANDP-500;60;20150121;220000;2031.0600000;2032.8000000;2024.4800000;2024.7100000;2303
SANDP-500;60;20150121;230000;2024.7000000;2031.5800000;2022.7700000;2031.0300000;2338
SANDP-500;60;20150122;000000;2031.0200000;2033.8500000;2027.1500000;2032.1000000;2384
SANDP-500;60;20150122;010000;2032.4000000;2032.4200000;2032.1200000;2032.1200000;31
SANDP-500;60;20150122;180000;2034.3000000;2045.1500000;2026.3800000;2031.6900000;1664
SANDP-500;60;20150122;190000;2031.3500000;2050.8700000;2031.3400000;2050.8700000;2907
SANDP-500;60;20150122;200000;2050.8900000;2051.3800000;2042.8800000;2045.2800000;2688
SANDP-500;60;20150122;210000;2045.4300000;2047.7700000;2043.2800000;2044.9500000;2405
SANDP-500;60;20150122;220000;2044.9600000;2049.1700000;2043.9800000;2048.5300000;2232
SANDP-500;60;20150122;230000;2048.5500000;2061.2600000;2047.9800000;2060.8400000;2288
SANDP-500;60;20150123;000000;2060.8900000;2064.6200000;2060.7900000;2063.4300000;2490
SANDP-500;60;20150123;010000;2063.4100000;2063.4100000;2063.1400000;2063.1500000;33
SANDP-500;60;20150123;180000;2062.9800000;2062.9800000;2055.3900000;2057.6700000;1596
SANDP-500;60;20150123;190000;2057.8700000;2060.7400000;2052.9100000;2059.0800000;2859
SANDP-500;60;20150123;200000;2059.1000000;2060.9200000;2056.5900000;2058.3500000;1962
SANDP-500;60;20150123;210000;2058.3100000;2062.7900000;2057.7900000;2060.9500000;2101
SANDP-500;60;20150123;220000;2060.9400000;2062.7100000;2058.3800000;2061.4900000;2064
